TXN_ID,Product,Store,Date,Revenue,Quantity
JSON_00000,Cables,Berlin-03,2023-04-17,1779.2495169860267,3.0
JSON_00001,TV,Berlin-03,2023-03-29,2785.8299665508284,4.0
JSON_00004,TV,Tokyo-04,2023-06-19,333.7620652402114,4.0
JSON_00005,Keyboard,Tokyo-04,2023-02-20,1550.0737744957646,4.0
JSON_00007,Cables,Paris-05,2023-01-09,2851.7680580346664,2.0
JSON_00008,Keyboard,Berlin-03,2023-06-21,3126.413665327883,3.0
JSON_00009,Mouse,Tokyo-04,2023-04-14,2737.029166028468,2.0
JSON_00010,Keyboard,Berlin-03,2023-02-23,1608.1972614156514,2.0
JSON_00012,Cables,Berlin-03,2023-02-09,1754.2875257756582,2.0
JSON_00013,Laptop,Berlin-03,2023-05-04,832.5535919641657,1.0
JSON_00014,Laptop,London-01,2023-03-12,4852.74248837343,4.0
JSON_00016,Keyboard,Tokyo-04,2023-02-10,928.6419634324665,1.0
JSON_00019,Cables,London-01,2023-05-11,1469.423282969653,2.0
JSON_00020,Keyboard,London-01,2023-01-27,1176.5344009079574,3.0
JSON_00025,Monitor,Tokyo-04,2023-02-13,2627.2357115443815,2.0
JSON_00026,Keyboard,London-01,2023-04-02,1664.0925015553871,2.0
JSON_00027,Cables,Tokyo-04,2023-05-01,209.5752905651313,1.0
JSON_00028,Monitor,London-01,2023-06-04,491.9328243291421,1.0
JSON_00030,Monitor,London-01,2023-06-29,367.2081183809519,1.0
JSON_00031,Phone,Paris-05,2023-02-08,418.1773502047998,1.0
JSON_00032,Mouse,Paris-05,2023-04-23,1058.9041937297193,4.0
JSON_00033,Monitor,NYC-02,2023-05-09,249.2883786249691,2.0
JSON_00035,TV,Berlin-03,2023-02-07,2308.696884453281,2.0
JSON_00036,Laptop,London-01,2023-05-24,3874.4723224131894,4.0
JSON_00037,TV,Tokyo-04,2023-01-03,2360.664678822126,3.0
JSON_00038,Keyboard,Tokyo-04,2023-05-27,1477.3980758801802,4.0
JSON_00039,Laptop,Paris-05,2023-02-08,4241.276200529777,3.0
JSON_00041,TV,London-01,2023-03-31,1696.0614407479025,4.0
JSON_00042,Cables,Berlin-03,2023-05-20,1712.8092140163724,4.0
JSON_00043,Phone,NYC-02,2023-04-09,3871.988452184954,4.0
JSON_00044,Phone,Tokyo-04,2023-06-01,1336.2753151844202,1.0
JSON_00046,Monitor,Paris-05,2023-04-03,394.2674743114931,2.0
JSON_00047,Laptop,Tokyo-04,2023-06-18,3016.559770800114,4.0
JSON_00050,Monitor,NYC-02,2023-04-19,1615.1399315986848,4.0
JSON_00051,TV,London-01,2023-01-30,2895.4530230880937,3.0
JSON_00052,TV,NYC-02,2023-03-02,2292.451968112058,3.0
JSON_00054,Laptop,Berlin-03,2023-02-06,2662.132664572151,2.0
JSON_00056,Laptop,Paris-05,2023-03-08,653.6419903360035,2.0
JSON_00058,Mouse,NYC-02,2023-05-07,2046.3161987897467,2.0
JSON_00059,Monitor,NYC-02,2023-05-17,2070.794432583883,4.0
JSON_00060,Mouse,NYC-02,2023-01-26,851.5889665164663,1.0
